
; Distancia (Mpc) ; Nome da galaxia1 ; Massa1 ($M_\odot$) ; Idade1 (Gyr) ; redshift1 ; Nome da galaxia2 ; Massa2 ($M_\odot$) ; Idade2 (Gyr) ; redshift2 ; Criterio ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; NGC 1415 ; $5.0 \times 10^{10}$ ; 8.0 ; 0.00531 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4245 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.00881 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4248 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00962 ; 1 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7035 ; $5.5 \times 10^{9}$ ; 4.5 ; 0.00384 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6421 ; $4.0 \times 10^{9}$ ; 3.5 ; 0.00312 ; 0 ;
; 50.0 ; NGC 7619 ; $6.0 \times 10^{11}$ ; 12.5 ; 0.01254 ; IC 5345 ; $1.5 \times 10^{9}$ ; 4.0 ; 0.01281 ; 1 ;
; 50.0 ; NGC 7626 ; $5.0 \times 10^{11}$ ; 12.0 ; 0.01135 ; IC 5351 ; $3.0 \times 10^{9}$ ; 5.0 ; 0.01192 ; 1 ;
; 10.5 ; NGC 3627 (M66) ; $1.5 \times 10^{11}$ ; 9.0 ; 0.00243 ; NGC 3628 ; $1.2 \times 10^{11}$ ; 8.5 ; 0.00281 ; 1 ;
; 10.5 ; NGC 3627 (M66) ; $1.5 \times 10^{11}$ ; 9.0 ; 0.00243 ; NGC 3593 ; $3.0 \times 10^{10}$ ; 7.0 ; 0.00209 ; 0 ;
; 10.5 ; NGC 3623 (M65) ; $1.3 \times 10^{11}$ ; 10.0 ; 0.00269 ; NGC 3593 ; $3.0 \times 10^{10}$ ; 7.0 ; 0.00209 ; 0 ;
; 16.5 ; NGC 4571 ; $1.8 \times 10^{10}$ ; 7.5 ; 0.00114 ; VCC 2791 ; $8.0 \times 10^{7}$ ; 4.0 ; 0.00154 ; 1 ;
; 16.5 ; NGC 4578 ; $3.5 \times 10^{10}$ ; 11.0 ; 0.00762 ; VCC 2812 ; $1.4 \times 10^{8}$ ; 4.5 ; 0.00811 ; 1 ;
; 16.5 ; NGC 4595 ; $1.2 \times 10^{10}$ ; 6.5 ; 0.00211 ; VCC 2840 ; $6.0 \times 10^{7}$ ; 3.5 ; 0.00185 ; 0 ;
; 16.5 ; NGC 4606 ; $1.4 \times 10^{10}$ ; 7.0 ; 0.00377 ; VCC 2891 ; $1.1 \times 10^{8}$ ; 4.0 ; 0.00412 ; 1 ;
; 16.5 ; NGC 4612 ; $1.2 \times 10^{10}$ ; 9.5 ; 0.00592 ; VCC 2922 ; $9.5 \times 10^{7}$ ; 5.0 ; 0.00551 ; 0 ;
; 16.5 ; NGC 4621 ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00157 ; VCC 2960 ; $4.5 \times 10^{8}$ ; 5.5 ; 0.00199 ; 1 ;
; 16.5 ; NGC 4638 ; $2.5 \times 10^{10}$ ; 10.0 ; 0.00384 ; VCC 3011 ; $1.8 \times 10^{8}$ ; 4.5 ; 0.00354 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1954 ; $1.4 \times 10^{10}$ ; 6.0 ; 0.00354 ; 0 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1964 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.00612 ; 1 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2045 ; $3.5 \times 10^{9}$ ; 4.5 ; 0.00631 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1982 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00624 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4252 ; $2.0 \times 10^{9}$ ; 4.5 ; 0.00889 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4255 ; $1.5 \times 10^{9}$ ; 4.0 ; 0.00974 ; 1 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7054 ; $4.8 \times 10^{9}$ ; 4.0 ; 0.00391 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6512 ; $3.0 \times 10^{9}$ ; 3.5 ; 0.00318 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2592 ; $5.5 \times 10^{9}$ ; 5.5 ; 0.01322 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2597 ; $9.5 \times 10^{10}$ ; 9.5 ; 0.01295 ; 0 ;
; 3.6 ; NGC 3031 (M81) ; $2.5 \times 10^{11}$ ; 10.0 ; -0.00011 ; NGC 3077 ; $6.0 \times 10^{9}$ ; 6.5 ; 0.00004 ; 1 ;
; 3.6 ; NGC 3031 (M81) ; $2.5 \times 10^{11}$ ; 10.0 ; -0.00011 ; NGC 2976 ; $4.0 \times 10^{9}$ ; 5.5 ; 0.00001 ; 1 ;
; 3.6 ; NGC 3034 (M82) ; $5.0 \times 10^{10}$ ; 6.0 ; 0.00068 ; NGC 3077 ; $6.0 \times 10^{9}$ ; 6.5 ; 0.00004 ; 0 ;
; 16.5 ; NGC 4642 ; $2.2 \times 10^{10}$ ; 8.5 ; 0.00445 ; VCC 3042 ; $1.1 \times 10^{8}$ ; 4.0 ; 0.00492 ; 1 ;
; 16.5 ; NGC 4643 ; $8.0 \times 10^{10}$ ; 10.0 ; 0.00445 ; VCC 3081 ; $3.5 \times 10^{8}$ ; 4.5 ; 0.00399 ; 0 ;
; 16.5 ; NGC 4651 ; $3.0 \times 10^{10}$ ; 7.5 ; 0.00267 ; VCC 3120 ; $9.0 \times 10^{7}$ ; 3.5 ; 0.00311 ; 1 ;
; 16.5 ; NGC 4654 ; $4.5 \times 10^{10}$ ; 7.5 ; 0.00349 ; VCC 3162 ; $2.0 \times 10^{8}$ ; 4.0 ; 0.00312 ; 0 ;
; 16.5 ; NGC 4660 ; $3.0 \times 10^{10}$ ; 11.0 ; 0.00361 ; VCC 3201 ; $7.0 \times 10^{7}$ ; 5.0 ; 0.00395 ; 1 ;
; 16.5 ; NGC 4666 ; $1.2 \times 10^{11}$ ; 8.0 ; 0.00507 ; VCC 3240 ; $1.6 \times 10^{8}$ ; 4.5 ; 0.00548 ; 1 ;
; 16.5 ; NGC 4689 ; $4.0 \times 10^{10}$ ; 7.0 ; 0.00539 ; VCC 3291 ; $1.2 \times 10^{8}$ ; 3.5 ; 0.00499 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1962 ; $1.8 \times 10^{9}$ ; 4.5 ; 0.00516 ; 1 ;
; 20.0 ; NGC 1380 ; $1.2 \times 10^{11}$ ; 11.5 ; 0.00626 ; IC 1980 ; $1.6 \times 10^{9}$ ; 5.0 ; 0.00532 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2048 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00624 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1954 ; $1.4 \times 10^{10}$ ; 6.0 ; 0.00354 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4258 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.00992 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4262 ; $2.8 \times 10^{9}$ ; 4.5 ; 0.00845 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7062 ; $3.5 \times 10^{9}$ ; 3.5 ; 0.00388 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6442 ; $5.0 \times 10^{9}$ ; 4.0 ; 0.00311 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2612 ; $4.0 \times 10^{9}$ ; 5.0 ; 0.01314 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2615 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.01292 ; 0 ;
; 11.1 ; NGC 1023 ; $2.2 \times 10^{11}$ ; 11.5 ; 0.00212 ; NGC 1023A ; $5.0 \times 10^{8}$ ; 4.5 ; 0.00245 ; 1 ;
; 11.1 ; NGC 1023 ; $2.2 \times 10^{11}$ ; 11.5 ; 0.00212 ; NGC 925 ; $5.0 \times 10^{10}$ ; 7.0 ; 0.00185 ; 0 ;
; 11.1 ; NGC 1023 ; $2.2 \times 10^{11}$ ; 11.5 ; 0.00212 ; NGC 1058 ; $2.5 \times 10^{10}$ ; 7.5 ; 0.00173 ; 0 ;
; 16.5 ; NGC 4694 ; $1.5 \times 10^{10}$ ; 6.5 ; 0.00387 ; VCC 3321 ; $8.0 \times 10^{7}$ ; 3.5 ; 0.00424 ; 1 ;
; 16.5 ; NGC 4710 ; $4.0 \times 10^{10}$ ; 10.0 ; 0.00367 ; VCC 3354 ; $1.4 \times 10^{8}$ ; 4.5 ; 0.00311 ; 0 ;
; 16.5 ; NGC 4754 ; $1.1 \times 10^{11}$ ; 11.5 ; 0.00451 ; VCC 3402 ; $2.5 \times 10^{8}$ ; 5.0 ; 0.00495 ; 1 ;
; 16.5 ; NGC 4762 ; $1.4 \times 10^{11}$ ; 11.0 ; 0.00329 ; VCC 3431 ; $3.0 \times 10^{8}$ ; 4.0 ; 0.00288 ; 0 ;
; 16.5 ; NGC 4866 ; $6.0 \times 10^{10}$ ; 9.0 ; 0.00671 ; VCC 3480 ; $9.5 \times 10^{7}$ ; 4.5 ; 0.00712 ; 1 ;
; 16.5 ; NGC 4984 ; $5.0 \times 10^{10}$ ; 9.5 ; 0.00412 ; VCC 3512 ; $1.1 \times 10^{8}$ ; 4.0 ; 0.00445 ; 1 ;
; 16.5 ; NGC 4216 ; $1.8 \times 10^{11}$ ; 9.0 ; 0.00043 ; VCC 3540 ; $1.6 \times 10^{8}$ ; 3.5 ; 0.00011 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1993 ; $3.2 \times 10^{9}$ ; 4.5 ; 0.00494 ; 1 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1912 ; $1.4 \times 10^{9}$ ; 4.5 ; 0.00681 ; 1 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2040 ; $4.0 \times 10^{9}$ ; 5.5 ; 0.00631 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1934 ; $9.0 \times 10^{8}$ ; 3.5 ; 0.00543 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4265 ; $1.5 \times 10^{9}$ ; 4.0 ; 0.00994 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4268 ; $2.2 \times 10^{9}$ ; 4.5 ; 0.00841 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7072 ; $4.0 \times 10^{9}$ ; 4.0 ; 0.00394 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6412 ; $3.5 \times 10^{9}$ ; 3.5 ; 0.00310 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2622 ; $3.2 \times 10^{9}$ ; 4.5 ; 0.01311 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2625 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.01292 ; 0 ;
; 22.4 ; NGC 2768 ; $2.5 \times 10^{11}$ ; 11.5 ; 0.00451 ; NGC 2726 ; $3.2 \times 10^{10}$ ; 7.5 ; 0.00495 ; 1 ;
; 22.4 ; NGC 2768 ; $2.5 \times 10^{11}$ ; 11.5 ; 0.00451 ; NGC 2655 ; $1.2 \times 10^{11}$ ; 9.0 ; 0.00467 ; 0 ;
; 22.4 ; NGC 2768 ; $2.5 \times 10^{11}$ ; 11.5 ; 0.00451 ; UGC 4701 ; $1.5 \times 10^{9}$ ; 4.5 ; 0.00411 ; 1 ;
; 16.5 ; NGC 4224 ; $4.5 \times 10^{10}$ ; 8.5 ; 0.00331 ; VCC 3580 ; $9.0 \times 10^{7}$ ; 4.0 ; 0.00388 ; 1 ;
; 16.5 ; NGC 4235 ; $3.0 \times 10^{10}$ ; 7.0 ; 0.00804 ; VCC 3612 ; $1.4 \times 10^{8}$ ; 3.5 ; 0.00854 ; 1 ;
; 16.5 ; NGC 4254 (M99) ; $1.8 \times 10^{11}$ ; 8.0 ; 0.00803 ; VCC 3640 ; $2.2 \times 10^{8}$ ; 4.5 ; 0.00762 ; 0 ;
; 16.5 ; NGC 4260 ; $5.0 \times 10^{10}$ ; 10.0 ; 0.00612 ; VCC 3691 ; $3.5 \times 10^{8}$ ; 5.0 ; 0.00651 ; 1 ;
; 16.5 ; NGC 4261 ; $4.5 \times 10^{11}$ ; 12.5 ; 0.00737 ; VCC 3722 ; $1.1 \times 10^{8}$ ; 4.0 ; 0.00699 ; 0 ;
; 16.5 ; NGC 4264 ; $1.0 \times 10^{10}$ ; 9.0 ; 0.00831 ; VCC 3751 ; $7.0 \times 10^{7}$ ; 4.5 ; 0.00874 ; 1 ;
; 16.5 ; NGC 4267 ; $2.5 \times 10^{10}$ ; 11.0 ; 0.00361 ; VCC 3801 ; $1.8 \times 10^{8}$ ; 5.5 ; 0.00312 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 2006 ; $2.2 \times 10^{10}$ ; 10.5 ; 0.00461 ; 0 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1938 ; $1.2 \times 10^{9}$ ; 4.5 ; 0.00542 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 1982 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00624 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1952 ; $1.4 \times 10^{9}$ ; 4.0 ; 0.00588 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4272 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.00992 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4275 ; $2.0 \times 10^{9}$ ; 4.5 ; 0.00845 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7082 ; $3.0 \times 10^{9}$ ; 3.5 ; 0.00388 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6382 ; $2.5 \times 10^{9}$ ; 3.0 ; 0.00311 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2632 ; $2.8 \times 10^{9}$ ; 4.5 ; 0.01314 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2635 ; $1.9 \times 10^{9}$ ; 4.0 ; 0.01292 ; 0 ;
; 35.0 ; NGC 5353 ; $3.5 \times 10^{11}$ ; 12.0 ; 0.00775 ; NGC 5354 ; $2.8 \times 10^{11}$ ; 11.5 ; 0.00861 ; 1 ;
; 35.0 ; NGC 5353 ; $3.5 \times 10^{11}$ ; 12.0 ; 0.00775 ; NGC 5350 ; $1.2 \times 10^{11}$ ; 8.5 ; 0.00741 ; 0 ;
; 35.0 ; NGC 5353 ; $3.5 \times 10^{11}$ ; 12.0 ; 0.00775 ; NGC 5355 ; $8.0 \times 10^{9}$ ; 6.0 ; 0.00785 ; 1 ;
; 16.5 ; NGC 4269 ; $1.8 \times 10^{10}$ ; 11.0 ; 0.00843 ; VCC 3840 ; $1.1 \times 10^{8}$ ; 4.5 ; 0.00892 ; 1 ;
; 16.5 ; NGC 4273 ; $6.0 \times 10^{10}$ ; 7.5 ; 0.00793 ; VCC 3891 ; $2.5 \times 10^{8}$ ; 3.5 ; 0.00745 ; 0 ;
; 16.5 ; NGC 4281 ; $4.5 \times 10^{10}$ ; 11.0 ; 0.00889 ; VCC 3922 ; $1.6 \times 10^{8}$ ; 5.0 ; 0.00931 ; 1 ;
; 16.5 ; NGC 4293 ; $1.1 \times 10^{11}$ ; 10.5 ; 0.00298 ; VCC 3960 ; $4.0 \times 10^{8}$ ; 4.0 ; 0.00251 ; 0 ;
; 16.5 ; NGC 4302 ; $8.0 \times 10^{10}$ ; 8.0 ; 0.00384 ; VCC 4011 ; $9.5 \times 10^{7}$ ; 3.5 ; 0.00424 ; 1 ;
; 16.5 ; NGC 4303 (M61) ; $1.5 \times 10^{11}$ ; 7.0 ; 0.00522 ; VCC 4051 ; $2.0 \times 10^{8}$ ; 3.0 ; 0.00561 ; 1 ;
; 16.5 ; NGC 4313 ; $2.0 \times 10^{10}$ ; 7.5 ; 0.00479 ; VCC 4102 ; $7.0 \times 10^{7}$ ; 4.0 ; 0.00445 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1962 ; $1.8 \times 10^{9}$ ; 4.5 ; 0.00516 ; 1 ;
; 20.0 ; NGC 1380 ; $1.2 \times 10^{11}$ ; 11.5 ; 0.00626 ; IC 1912 ; $1.4 \times 10^{9}$ ; 4.5 ; 0.00681 ; 1 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2045 ; $3.5 \times 10^{9}$ ; 4.5 ; 0.00631 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1934 ; $9.0 \times 10^{8}$ ; 3.5 ; 0.00543 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4278 ; $1.4 \times 10^{9}$ ; 4.0 ; 0.00985 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4282 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00849 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7092 ; $3.8 \times 10^{9}$ ; 3.5 ; 0.00391 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6312 ; $1.9 \times 10^{9}$ ; 3.0 ; 0.00318 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2642 ; $2.2 \times 10^{9}$ ; 4.5 ; 0.01311 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2645 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.01292 ; 0 ;
; 18.7 ; NGC 5033 ; $3.0 \times 10^{11}$ ; 9.5 ; 0.00292 ; NGC 5005 ; $3.5 \times 10^{11}$ ; 10.0 ; 0.00316 ; 1 ;
; 18.7 ; NGC 5033 ; $3.0 \times 10^{11}$ ; 9.5 ; 0.00292 ; NGC 5014 ; $1.2 \times 10^{10}$ ; 7.0 ; 0.00374 ; 0 ;
; 18.7 ; NGC 5033 ; $3.0 \times 10^{11}$ ; 9.5 ; 0.00292 ; IC 4213 ; $2.5 \times 10^{9}$ ; 5.0 ; 0.00271 ; 1 ;
; 16.5 ; NGC 4321 (M100) ; $2.5 \times 10^{11}$ ; 8.0 ; 0.00524 ; VCC 4140 ; $1.5 \times 10^{8}$ ; 4.0 ; 0.00551 ; 1 ;
; 16.5 ; NGC 4324 ; $1.8 \times 10^{10}$ ; 10.0 ; 0.00556 ; VCC 4181 ; $9.0 \times 10^{7}$ ; 4.5 ; 0.00511 ; 0 ;
; 16.5 ; NGC 4339 ; $1.2 \times 10^{10}$ ; 11.5 ; 0.00437 ; VCC 4222 ; $2.0 \times 10^{8}$ ; 5.0 ; 0.00474 ; 1 ;
; 16.5 ; NGC 4340 ; $5.5 \times 10^{10}$ ; 11.0 ; 0.00311 ; VCC 4260 ; $3.5 \times 10^{8}$ ; 4.0 ; 0.00277 ; 0 ;
; 16.5 ; NGC 4350 ; $7.0 \times 10^{10}$ ; 11.5 ; 0.00398 ; VCC 4311 ; $1.1 \times 10^{8}$ ; 4.5 ; 0.00431 ; 1 ;
; 16.5 ; NGC 4365 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00415 ; VCC 4354 ; $1.6 \times 10^{8}$ ; 3.5 ; 0.00452 ; 1 ;
; 16.5 ; NGC 4371 ; $8.0 \times 10^{10}$ ; 12.0 ; 0.00311 ; VCC 4402 ; $2.8 \times 10^{8}$ ; 5.0 ; 0.00274 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1970 ; $2.8 \times 10^{9}$ ; 5.5 ; 0.00531 ; 0 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1954 ; $1.4 \times 10^{10}$ ; 6.0 ; 0.00354 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2040 ; $4.0 \times 10^{9}$ ; 5.5 ; 0.00631 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1982 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.00624 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4285 ; $1.1 \times 10^{9}$ ; 4.0 ; 0.00994 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4288 ; $1.8 \times 10^{9}$ ; 4.5 ; 0.00841 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7102 ; $3.2 \times 10^{9}$ ; 3.5 ; 0.00394 ; 1 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; UGC 6282 ; $2.1 \times 10^{9}$ ; 3.0 ; 0.00311 ; 0 ;
; 51.0 ; NGC 3311 ; $7.0 \times 10^{11}$ ; 13.0 ; 0.01275 ; IC 2652 ; $2.5 \times 10^{9}$ ; 4.5 ; 0.01314 ; 1 ;
; 51.0 ; NGC 3309 ; $5.0 \times 10^{11}$ ; 12.5 ; 0.01361 ; IC 2655 ; $1.5 \times 10^{9}$ ; 4.0 ; 0.01292 ; 0 ;
; 7.4 ; NGC 4631 ; $2.0 \times 10^{11}$ ; 8.5 ; 0.00202 ; NGC 4656 ; $1.5 \times 10^{10}$ ; 6.0 ; 0.00215 ; 1 ;
; 7.4 ; NGC 4631 ; $2.0 \times 10^{11}$ ; 8.5 ; 0.00202 ; NGC 4627 ; $1.5 \times 10^{9}$ ; 7.5 ; 0.00181 ; 0 ;
; 7.4 ; NGC 4631 ; $2.0 \times 10^{11}$ ; 8.5 ; 0.00202 ; IC 3687 ; $8.0 \times 10^{8}$ ; 4.5 ; 0.00231 ; 1 ;
; 16.5 ; NGC 4374 (M84) ; $5.0 \times 10^{11}$ ; 12.5 ; 0.00337 ; VCC 4440 ; $2.0 \times 10^{8}$ ; 4.5 ; 0.00371 ; 1 ;
; 16.5 ; NGC 4377 ; $2.5 \times 10^{10}$ ; 11.0 ; 0.00445 ; VCC 4481 ; $1.2 \times 10^{8}$ ; 4.0 ; 0.00411 ; 0 ;
; 16.5 ; NGC 4382 (M85) ; $4.0 \times 10^{11}$ ; 10.0 ; 0.00243 ; VCC 4522 ; $3.5 \times 10^{8}$ ; 5.0 ; 0.00288 ; 1 ;
; 16.5 ; NGC 4387 ; $1.5 \times 10^{10}$ ; 11.5 ; 0.00184 ; VCC 4561 ; $8.5 \times 10^{7}$ ; 4.5 ; 0.00142 ; 0 ;
; 16.5 ; NGC 4406 (M86) ; $6.0 \times 10^{11}$ ; 13.0 ; -0.00092 ; VCC 4612 ; $4.5 \times 10^{8}$ ; 5.5 ; -0.00054 ; 1 ;
; 16.5 ; NGC 4417 ; $4.5 \times 10^{10}$ ; 10.5 ; 0.00276 ; VCC 4651 ; $1.4 \times 10^{8}$ ; 3.5 ; 0.00312 ; 1 ;
; 16.5 ; NGC 4419 ; $2.0 \times 10^{10}$ ; 7.0 ; -0.00087 ; VCC 4702 ; $9.0 \times 10^{7}$ ; 4.0 ; -0.00121 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; IC 1980 ; $1.6 \times 10^{9}$ ; 5.0 ; 0.00532 ; 0 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; IC 1970 ; $2.8 \times 10^{9}$ ; 5.5 ; 0.00531 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 2042 ; $1.8 \times 10^{9}$ ; 4.0 ; 0.00631 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; IC 1912 ; $1.4 \times 10^{9}$ ; 4.5 ; 0.00681 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4292 ; $1.3 \times 10^{9}$ ; 4.0 ; 0.00992 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; IC 4296 ; $4.5 \times 10^{11}$ ; 13.0 ; 0.01245 ; 0 ;
; 18.6 ; NGC 3992 ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; UGC 7122 ; $2.8 \times 10^{9}$ ; 3.5 ; 0.00391 ; 1 ;
